file_name,target_folder,purpose,official_url
2025_10K.pdf,annual_reports,2025 actuals; USCS segment P&L; company headcount; expense anchors,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000004962/0adef908-f8b7-4f66-b1cf-7d92a2b68ccb.pdf
2024_10K.pdf,annual_reports,2024 historical base and pre-2025 planning information,https://s26.q4cdn.com/747928648/files/doc_financials/2024/q4/65345cb2-3baf-42fd-ad88-968e29a7264a.pdf
Q4_2024_Earnings_Presentation.pdf,earnings_2024,Pre-2025 operating trends and management commentary,https://s26.q4cdn.com/747928648/files/doc_financials/2024/q4/Q4-2024-Earnings-Presentation.pdf
Q4_2024_Earnings_Tables.pdf,earnings_2024,Pre-2025 KPI baseline and historical USCS operating statistics,https://s26.q4cdn.com/747928648/files/doc_financials/2024/q4/Q4-2024-Earnings-Tables.pdf
Q4_2025_Earnings_Presentation.pdf,earnings_2025,2025 actual performance and operating drivers,https://s26.q4cdn.com/747928648/files/doc_earnings/2025/q4/presentation/Q4-2025-Earnings-Presentation.pdf
Q4_2025_Earnings_Tables.pdf,earnings_2025,2025 actual KPI and segment tables for backtest,https://s26.q4cdn.com/747928648/files/doc_earnings/2025/q4/supplemental-info/Q4-2025-Earnings-Tables.pdf
Q1_2026_Earnings_Presentation.pdf,earnings_2026,Q1 2026 rolling forecast update,https://s26.q4cdn.com/747928648/files/doc_earnings/2026/q1/presentation/Q1-2026-Earnings-Presentation.pdf
Q1_2026_Earnings_Tables.pdf,earnings_2026,Q1 2026 USCS actuals and KPIs,https://s26.q4cdn.com/747928648/files/doc_earnings/2026/q1/supplemental-info/Q1-2026-Earnings-Tables.pdf
Q1_2026_10Q.pdf,earnings_2026,Q1 2026 segment and consolidated filing,https://s26.q4cdn.com/747928648/files/doc_financials/2026/q1/AXP-Q1-26-10-Q-Final.pdf
Q2_2026_Earnings_Presentation.pdf,earnings_2026,Q2 2026 rolling forecast update and latest drivers,https://s26.q4cdn.com/747928648/files/doc_earnings/2026/q2/presentation/Q2-2026-Earnings-Presentation.pdf
Q2_2026_Earnings_Tables.pdf,earnings_2026,Q2 2026 USCS actuals and KPIs,https://s26.q4cdn.com/747928648/files/doc_earnings/2026/q2/supplemental-info/Q2-2026-Earnings-Tables.pdf
Q2_2026_10Q.pdf,earnings_2026,Q2 2026 segment and consolidated filing,https://s26.q4cdn.com/747928648/files/doc_financials/2026/q2/92d6cbf6-a4de-4e5d-a85e-ad45e2578a69.pdf
